Filename	WER	PESQ	timepercentage
upc_ca_ona_100003.wav	0.03225806451612903	4.2914	1
common_voice_ca_31507051.wav	0.1111111111111111	3.8764	1
upc_ca_ona_100104.wav	0.0	3.9499	1
upc_ca_ona_100063.wav	0.0	4.0260	1
upc_ca_pau_101009.wav	0.08695652173913043	4.1472	1
upc_ca_ona_100001.wav	0.0	4.2367	1
upc_ca_pau_101064.wav	0.13333333333333333	4.1826	1
common_voice_ca_31420992.wav	0.0	3.9087	1
common_voice_ca_30798361.wav	0.0	3.6857	1
common_voice_ca_30858097.wav	0.0	3.6677	1
upc_ca_ona_100037.wav	0.034482758620689655	4.1180	1
upc_ca_ona_100010.wav	0.0	4.3155	1
upc_ca_pau_101030.wav	0.04	4.2615	1
upc_ca_pau_101103.wav	0.04	4.1096	1
common_voice_ca_31083168.wav	0.0	4.4596	1
upc_ca_ona_100030.wav	0.0	4.2238	1
common_voice_ca_30828399.wav	0.2	3.6633	1
common_voice_ca_30871150.wav	0.0	3.9327	1
upc_ca_ona_100082.wav	0.0	4.2855	1
common_voice_ca_28791267.wav	0.5	4.0163	1
upc_ca_pau_101048.wav	0.0	4.2448	1
common_voice_ca_31811352.wav	0.0	3.6486	1
upc_ca_pau_101039.wav	0.038461538461538464	4.1351	1
common_voice_ca_20227727.wav	0.0	3.8705	1
common_voice_ca_31721010.wav	0.125	3.6512	1
upc_ca_ona_100074.wav	0.0	4.2215	1
upc_ca_ona_100028.wav	0.024390243902439025	4.2842	1
upc_ca_ona_100059.wav	0.04878048780487805	4.1981	1
common_voice_ca_31074096.wav	0.0	4.4162	1
upc_ca_ona_100068.wav	0.0	3.9771	1
upc_ca_ona_100102.wav	0.0	4.5260	1
upc_ca_ona_100092.wav	0.0	4.2521	1
common_voice_ca_30816683.wav	0.0	4.2228	1
upc_ca_pau_101006.wav	0.03333333333333333	4.2082	1
upc_ca_pau_101072.wav	0.0	4.2241	1
upc_ca_pau_101012.wav	0.0	4.1480	1
common_voice_ca_31173901.wav	0.0	4.4084	1
upc_ca_pau_101073.wav	0.0	4.4144	1
upc_ca_ona_100043.wav	0.0	4.2676	1
common_voice_ca_31168100.wav	0.18181818181818182	3.8517	1
common_voice_ca_31792897.wav	0.0	3.8456	1
common_voice_ca_30858248.wav	0.0	3.7755	1
upc_ca_ona_100049.wav	0.0	4.2075	1
common_voice_ca_31056631.wav	0.14285714285714285	3.8181	1
common_voice_ca_30957984.wav	0.0	3.5352	1
upc_ca_pau_101021.wav	0.0	4.1865	1
upc_ca_ona_100066.wav	0.0	4.3377	1
common_voice_ca_31149065.wav	0.0	4.2134	1
common_voice_ca_20325542.wav	0.0	3.9104	1
common_voice_ca_30957086.wav	0.0	3.9450	1
common_voice_ca_31340503.wav	0.0	4.0582	1
upc_ca_pau_101007.wav	0.0	4.4586	1
common_voice_ca_19937250.wav	0.0	4.0780	1
common_voice_ca_30783842.wav	0.0	4.2638	1
upc_ca_ona_100061.wav	0.0	4.2317	1
common_voice_ca_31261336.wav	0.0	4.5231	1
common_voice_ca_31325473.wav	0.0	3.2718	1
common_voice_ca_18489699.wav	0.0	3.8790	1
upc_ca_pau_101080.wav	0.0	4.2446	1
upc_ca_ona_100036.wav	0.0	4.1195	1
upc_ca_pau_101019.wav	0.1111111111111111	4.2114	1
common_voice_ca_31325807.wav	0.0	3.8377	1
common_voice_ca_31351008.wav	0.0	4.0118	1
upc_ca_ona_100079.wav	0.0	4.5396	1
upc_ca_pau_101008.wav	0.0	4.5918	1
upc_ca_ona_100084.wav	0.043478260869565216	3.9972	1
upc_ca_ona_100024.wav	0.0	4.2403	1
common_voice_ca_31121143.wav	0.0	4.0924	1
common_voice_ca_31292778.wav	0.0	4.2958	1
upc_ca_ona_100085.wav	0.045454545454545456	4.2304	1
common_voice_ca_31391614.wav	0.0	3.9939	1
common_voice_ca_31337809.wav	0.0	3.9714	1
common_voice_ca_31339338.wav	0.0	3.7804	1
common_voice_ca_31340683.wav	0.0	4.3655	1
common_voice_ca_31760199.wav	0.0	3.9041	1
common_voice_ca_31345308.wav	0.0	4.1697	1
common_voice_ca_31239887.wav	0.0	4.1834	1
upc_ca_ona_100022.wav	0.05128205128205128	4.3943	1
upc_ca_pau_101087.wav	0.03333333333333333	4.2690	1
common_voice_ca_20170673.wav	0.0	4.0319	1
upc_ca_ona_100070.wav	0.0	4.1642	1
upc_ca_ona_100031.wav	0.01818181818181818	4.2310	1
upc_ca_pau_101102.wav	0.04	4.1579	1
upc_ca_pau_101016.wav	0.0	4.3821	1
common_voice_ca_31820637.wav	0.4	3.6401	1
upc_ca_ona_100058.wav	0.09090909090909091	4.1563	1
upc_ca_pau_101011.wav	0.0	4.1967	1
upc_ca_pau_101088.wav	0.0	4.5106	1
upc_ca_pau_101104.wav	0.043478260869565216	4.2005	1
common_voice_ca_31351009.wav	0.0	3.9611	1
common_voice_ca_30806019.wav	0.16666666666666666	4.3240	1
common_voice_ca_30899625.wav	0.0	3.8524	1
common_voice_ca_31297951.wav	0.18181818181818182	3.6918	1
common_voice_ca_31315526.wav	0.0	3.8017	1
upc_ca_ona_100046.wav	0.03571428571428571	4.2430	1
upc_ca_ona_100020.wav	0.0	4.1762	1
